Student_ID,Gender,Age,Attendance,Study_Hours,Internet,Parent_Education,Family_Income,Sleep_Hours,Assignments,Previous_Grade,Final_Exam,Performance_Level
STU014254,Male,21,62.7,3.5,Yes,Bachelor Degree,80775.0,6.8,78.0,77.7,66.8,Average
STU008686,Male,20,80.7,4.8,No,High School,57886.0,7.7,77.0,38.5,53.8,Average
STU013982,Male,21,79.3,3.2,Yes,Diploma,59105.0,6.7,100.0,68.2,77.3,Good
STU010106,Male,19,85.0,0.5,Yes,High School,83147.0,6.2,78.90809031710079,77.4,73.4,Good
STU005169,Male,20,54.0,6.4,Yes,Ph.D,25649.0,6.7,78.90809031710079,51.2,65.7,Average
STU027820,Male,18,67.9,3.7,Yes,High School,45194.0,7.6,60.0,50.8,55.9,Average
STU021330,Male,18,84.0,4.9,No,High School,36024.0,7.5,91.0,72.6,75.6,Good
STU001904,Male,21,70.6,4.1,Yes,High School,59931.0,6.5,92.0,61.4,64.6,Average
STU024188,Female,19,77.3,2.8,No,Bachelor Degree,21198.0,7.2,64.0,50.9,57.2,Average
STU012314,Male,19,79.1,5.5,Yes,No Formal Education,19920.0,8.3,100.0,74.2,75.8,Good
STU029824,Female,18,38.4,1.5,No,High School,13176.0,6.0,78.90809031710079,53.2,89.2,Excellent
STU003933,Female,19,77.22603224834236,3.5,Yes,Master Degree,26856.0,5.3,45.0,52.4,80.2,Good
STU009990,Male,20,60.4,4.1,Unknown,High School,45963.3443790757,5.9,66.0,80.2,53.0,Average
STU028542,Male,21,74.3,4.0,Yes,High School,39521.0,8.4,67.0,70.0,67.2,Average
STU022848,Female,21,63.6,6.9,Yes,Bachelor Degree,21228.0,4.8,73.0,82.0,64.0,Average
STU004580,Male,20,94.1,6.1,Yes,High School,45963.3443790757,7.7,78.90809031710079,62.8,76.6,Good
STU006207,Male,21,91.9,6.3,Yes,No Formal Education,31023.0,7.9,68.0,70.8,77.5,Good
STU027561,Male,21,65.2,2.3,Yes,Diploma,18584.0,8.0,78.90809031710079,30.0,46.5,Poor
STU028537,Male,22,74.2,3.6,Yes,Diploma,64437.0,5.7,67.0,70.9,58.9,Average
STU021550,Female,20,62.6,5.3,No,Master Degree,39961.0,7.4,53.0,58.1,55.8,Average
STU015703,Male,19,77.22603224834236,3.4,Yes,Bachelor Degree,71542.0,7.8,78.90809031710079,71.8,62.5,Average
STU028528,Female,19,89.8,2.8,Yes,Primary,57945.0,6.7,39.0,81.6,73.4,Good
STU018962,Male,20,64.5,4.7,Yes,Bachelor Degree,273417.0,4.9,87.0,64.96579496452914,33.1,Poor
STU013244,Male,18,65.8,4.7,No,Primary,33116.0,6.9,82.0,64.96579496452914,57.6,Average
STU001123,Female,20,99.8,6.9,Yes,Ph.D,36110.0,7.7,99.0,71.8,95.2,Excellent
STU025241,Female,19,77.22603224834236,4.0,Yes,Diploma,17364.0,7.6,73.0,99.5,76.2,Good
STU016552,Female,21,72.1,6.6,Yes,Master Degree,19376.0,7.1,98.0,38.9,69.8,Average
STU023704,Male,20,52.6,3.4,Yes,Primary,15893.0,6.1,68.0,91.9,77.0,Good
STU026359,Female,18,97.6,3.1,No,High School,41250.0,6.5,93.0,48.2,62.8,Average
STU026508,Male,21,79.9,6.3,Yes,High School,45963.3443790757,7.2,98.0,75.9,74.6,Good
STU011826,Male,18,87.2,5.038143027580883,Yes,High School,11450.0,5.9,73.0,57.5,72.5,Good
STU009454,Female,18,95.5,4.3,Yes,Ph.D,35701.0,7.4,57.0,52.2,64.5,Average
STU008323,Male,20,89.9,4.2,Yes,Diploma,79149.0,7.3,66.0,63.5,79.2,Good
STU004570,Female,19,89.6,6.7,No,No Formal Education,76318.0,6.6,98.0,51.6,63.7,Average
STU000571,Male,21,73.4,6.9,Yes,Master Degree,45963.3443790757,7.2,89.0,80.5,87.1,Excellent
STU012843,Female,18,72.9,3.7,Yes,High School,21362.0,8.0,41.0,52.0,59.5,Average
STU017148,Male,20,88.2,2.7,No,Master Degree,106798.0,6.8,78.90809031710079,69.8,64.3,Average
STU015138,Male,18,56.4,6.6,Yes,Master Degree,29631.0,9.0,60.0,48.6,41.3,Poor
STU013711,Male,21,78.4,6.7,Yes,Primary,97818.0,5.7,100.0,76.0,77.5,Good
STU025648,Male,18,70.2,3.1,No,Bachelor Degree,34251.0,5.3,57.0,63.0,62.2,Average
STU023997,Male,20,93.6,3.2,Yes,High School,56560.0,6.4,89.0,84.5,80.3,Good
STU015864,Female,20,100.0,6.0,Yes,Master Degree,23888.0,7.3,87.0,70.6,87.5,Excellent
STU015503,Male,19,66.3,5.2,Yes,Bachelor Degree,140896.0,7.3,86.0,49.8,57.8,Average
STU009328,Male,21,70.7,4.0,Yes,Bachelor Degree,46840.0,7.0,59.0,49.6,63.8,Average
STU016833,Male,18,76.5,5.6,Yes,Bachelor Degree,20152.0,7.5,84.0,63.3,76.3,Good
STU029256,Female,18,53.4,2.0,No,Diploma,16972.0,5.2,51.0,70.6,42.1,Poor
STU013582,Male,18,70.8,8.9,Yes,Ph.D,44641.0,6.4,100.0,59.4,86.4,Excellent
STU010520,Female,18,78.5,7.1,Yes,Master Degree,25563.0,7.0,58.0,62.4,69.2,Average
STU006480,Male,19,77.22603224834236,4.1,Yes,High School,9527.0,8.5,93.0,52.0,90.0,Excellent
STU006878,Male,18,92.4,4.2,Yes,High School,54460.0,7.5,93.0,87.5,72.6,Good
STU015804,Female,19,76.2,9.2,Yes,No Formal Education,13575.0,7.1,84.0,64.96579496452914,67.2,Average
STU001584,Male,20,95.5,6.9,Yes,Diploma,44392.0,6.807314349525405,83.0,85.1,84.5,Good
STU001940,Male,21,71.7,7.4,Yes,Primary,81367.0,6.1,100.0,45.1,66.6,Average
STU015358,Male,18,91.5,5.038143027580883,Yes,No Formal Education,86039.0,6.807314349525405,100.0,82.9,79.5,Good
STU012418,Male,19,65.5,1.0,Yes,High School,24147.0,7.0,50.0,85.7,70.0,Good
STU023046,Female,19,81.4,6.5,Yes,No Formal Education,38862.0,6.6,99.0,45.4,58.2,Average
STU001944,Male,19,89.9,4.3,No,Master Degree,45963.3443790757,6.5,87.0,46.8,66.4,Average
STU005082,Female,18,78.9,4.8,Yes,High School,59173.0,8.5,88.0,56.2,67.4,Average
STU002033,Male,18,83.4,5.038143027580883,Yes,High School,78752.0,4.9,70.0,65.5,60.8,Average
STU004997,Male,20,100.0,3.0,Yes,High School,77487.0,7.7,80.0,90.7,83.8,Good
STU001179,Male,19,100.0,11.4,Yes,Primary,40068.0,6.5,88.0,51.5,38.3,Poor
STU014666,Male,21,70.1,3.9,Yes,High School,32730.0,4.8,89.0,57.0,67.3,Average
STU024949,Female,18,72.9,4.7,Yes,High School,97291.0,7.0,90.0,85.1,75.6,Good
STU023339,Female,20,100.0,4.5,No,High School,29519.0,7.4,92.0,64.96579496452914,71.6,Good
STU028793,Female,20,49.5,3.9,Yes,Bachelor Degree,70100.0,6.7,65.0,83.3,59.6,Average
STU003666,Male,20,100.0,5.7,Yes,Bachelor Degree,69504.0,5.3,99.0,34.6,65.6,Average
STU019859,Female,19,100.0,3.5,Yes,Bachelor Degree,28931.0,8.3,66.0,64.96579496452914,59.2,Average
STU016537,Male,21,69.9,1.7,Yes,High School,71806.0,7.0,59.0,69.6,73.7,Good
STU029732,Male,19,83.2,2.5,Yes,High School,32670.0,6.4,54.0,62.3,67.7,Average
STU010698,Female,21,55.8,7.3,Yes,No Formal Education,15488.0,8.3,71.0,59.6,61.8,Average
STU001754,Female,19,83.2,3.0,Yes,Bachelor Degree,43026.0,6.5,68.0,92.7,83.0,Good
STU028298,Female,20,79.0,8.1,Yes,Bachelor Degree,36382.0,5.3,100.0,80.8,70.5,Good
STU003972,Male,18,70.9,4.0,Yes,Bachelor Degree,72938.0,6.5,66.0,42.0,49.8,Poor
STU013313,Male,19,66.6,2.4,Yes,Primary,51990.0,6.0,71.0,54.4,59.0,Average
STU021638,Female,20,76.4,5.038143027580883,Yes,Master Degree,19983.0,7.0,71.0,59.4,63.1,Average
STU002183,Female,18,63.5,4.6,Yes,Primary,30143.0,6.4,78.90809031710079,54.4,70.9,Good
STU002689,Male,18,86.0,5.038143027580883,Yes,High School,14782.0,6.807314349525405,94.0,62.2,71.1,Good
STU008935,Female,18,78.4,1.1,Yes,Master Degree,42653.0,6.4,78.90809031710079,66.6,73.5,Good
STU002636,Male,21,77.22603224834236,1.9,Yes,High School,45963.3443790757,7.7,60.0,58.7,53.1,Average
STU020885,Female,21,100.0,4.4,Yes,Primary,25722.0,4.8,76.0,83.7,79.1,Good
STU021036,Male,19,72.5,2.7,No,High School,34660.0,7.7,57.0,76.4,52.2,Average
STU029769,Female,19,86.1,7.3,Yes,Bachelor Degree,31635.0,8.0,100.0,58.4,74.4,Good
STU014865,Male,20,58.6,5.4,No,Diploma,34276.0,6.4,86.0,52.3,60.7,Average
STU007337,Female,21,61.6,6.4,Yes,Bachelor Degree,25698.0,6.7,100.0,64.9,80.2,Good
STU012078,Female,20,75.6,7.3,No,Primary,18028.0,7.4,100.0,100.0,95.4,Excellent
STU020845,Male,19,77.22603224834236,2.8,Yes,High School,23994.0,8.4,69.0,76.0,63.7,Average
STU006560,Male,21,95.1,5.9,Yes,Diploma,49222.0,6.9,88.0,79.8,93.2,Excellent
STU011864,Female,19,77.5,5.038143027580883,Yes,Bachelor Degree,27757.0,6.8,59.0,69.7,66.7,Average
STU015932,Female,19,77.2,6.4,Yes,Diploma,33333.0,5.7,93.0,72.5,57.8,Average
STU022248,Male,21,85.6,7.8,Yes,High School,75120.0,5.8,83.0,65.0,83.9,Good
STU010841,Female,19,79.0,5.4,Yes,High School,45963.3443790757,5.3,77.0,57.9,65.8,Average
STU020173,Female,22,76.1,7.2,No,High School,47571.0,8.6,92.0,100.0,78.0,Good
STU013922,Female,19,65.1,4.0,Yes,Bachelor Degree,81154.0,7.1,77.0,76.2,72.3,Good
STU018615,Female,20,77.22603224834236,5.5,Yes,Primary,21785.0,5.9,81.0,65.3,73.6,Good
STU010688,Female,21,76.1,7.8,Yes,High School,36935.0,8.2,80.0,49.1,58.8,Average
STU007418,Female,19,100.0,5.0,Yes,Primary,24760.0,6.4,80.0,75.1,71.0,Good
STU025369,Male,21,91.2,4.1,Yes,High School,53471.0,8.6,100.0,90.8,82.9,Good
STU017696,Female,19,55.9,4.3,Yes,No Formal Education,45963.3443790757,6.8,75.0,60.1,58.8,Average
STU013477,Male,19,74.4,3.1,Yes,No Formal Education,50071.0,6.6,70.0,42.4,58.9,Average
STU012127,Male,21,67.7,5.6,Yes,High School,27664.0,6.5,58.0,59.0,47.2,Poor
STU028981,Male,20,77.22603224834236,7.1,Yes,Primary,40487.0,7.4,64.0,66.2,70.4,Good
STU016266,Male,19,100.0,3.3,Yes,Bachelor Degree,29074.0,8.0,75.0,54.9,58.8,Average
STU018207,Female,20,100.0,3.4,Yes,Bachelor Degree,30073.0,5.0,89.0,86.8,81.9,Good
STU023298,Male,20,65.5,5.2,Yes,High School,45963.3443790757,6.3,48.0,67.8,58.0,Average
STU010560,Female,20,92.2,9.5,No,Primary,39634.0,7.2,74.0,67.0,79.9,Good
STU028973,Female,18,62.0,2.8,Yes,Primary,80823.0,6.7,87.0,70.5,62.1,Average
STU014097,Female,19,62.4,5.2,No,Ph.D,78485.0,5.8,79.0,62.1,54.9,Average
STU017546,Male,18,91.0,6.4,Yes,High School,31968.0,7.2,93.0,38.0,63.4,Average
STU015030,Female,19,55.0,5.1,Yes,Primary,91443.0,6.807314349525405,74.0,39.2,53.3,Average
STU012467,Male,21,67.5,3.7,Yes,Diploma,32447.0,5.5,64.0,71.7,68.4,Average
STU021876,Female,20,55.5,4.2,Yes,Diploma,33296.0,7.3,64.0,64.0,72.4,Good
STU029491,Female,20,81.3,8.0,Yes,High School,49895.0,7.3,85.0,73.4,75.2,Good
STU015708,Female,20,68.3,0.5,Yes,High School,45963.3443790757,7.4,58.0,73.6,64.1,Average
STU020241,Female,18,74.3,7.3,Yes,Diploma,16308.0,7.7,96.0,68.2,68.5,Average
STU002603,Male,20,79.0,5.038143027580883,Yes,High School,15169.0,7.1,63.0,60.5,63.3,Average
STU022032,Male,19,92.7,2.2,Yes,High School,32852.0,5.5,73.0,88.2,74.1,Good
STU015946,Male,19,73.8,4.9,Yes,High School,49412.0,5.3,75.0,66.5,64.5,Average
STU027566,Female,20,71.4,7.4,Yes,Bachelor Degree,24960.0,5.3,86.0,89.3,74.4,Good
STU015335,Male,16,65.3,6.4,Yes,Bachelor Degree,267545.0,7.7,81.0,42.1,40.8,Poor
STU021841,Female,18,87.3,6.9,Yes,High School,22990.0,5.4,99.0,50.8,70.4,Good
STU012448,Female,20,80.7,8.9,Yes,Bachelor Degree,36310.0,5.6,100.0,64.96579496452914,57.8,Average
STU010278,Male,19,77.22603224834236,7.9,Yes,Primary,27711.0,7.6,91.0,95.5,88.5,Excellent
STU013850,Male,21,64.7,4.1,Yes,Ph.D,70999.0,6.4,78.90809031710079,50.7,57.4,Average
STU017129,Male,16,75.2,5.9,Yes,Master Degree,59425.0,6.8,79.0,73.6,79.6,Good
STU009273,Female,21,69.6,7.3,No,High School,36223.0,6.2,72.0,61.2,64.2,Average
STU004727,Female,20,74.1,2.7,Yes,High School,45963.3443790757,6.807314349525405,55.0,75.6,79.6,Good
STU021498,Male,21,60.5,3.8,Yes,High School,27144.0,7.8,63.0,80.5,60.6,Average
STU013905,Male,18,62.8,5.7,Yes,High School,32433.0,7.5,78.90809031710079,64.96579496452914,73.9,Good
STU028091,Female,18,71.6,3.0,Yes,Primary,45963.3443790757,5.8,55.0,40.9,53.9,Average
STU009939,Female,21,64.5,4.4,Yes,High School,27851.0,7.2,76.0,61.6,81.2,Good
STU012456,Female,18,61.0,0.9,Yes,Primary,61361.0,7.1,71.0,88.0,64.2,Average
STU018684,Female,21,83.4,2.4,Yes,Bachelor Degree,26283.0,6.9,69.0,64.6,58.2,Average
STU025656,Female,21,68.2,5.7,Yes,High School,95014.0,6.8,88.0,36.5,56.1,Average
STU002556,Female,20,68.8,6.1,Yes,No Formal Education,41574.0,6.5,59.0,49.9,52.5,Average
STU003554,Female,19,69.9,4.7,Yes,Ph.D,22977.0,5.9,79.0,65.3,73.9,Good
STU005363,Male,19,77.4,3.9,Yes,High School,45963.3443790757,6.0,43.0,92.5,68.3,Average
STU016134,Male,19,88.2,8.4,Yes,Ph.D,34430.0,5.6,100.0,55.1,59.2,Average
STU014537,Male,19,100.0,3.8,Yes,Diploma,45061.0,8.0,78.0,73.3,78.0,Good
STU010367,Female,21,65.4,5.1,Yes,Bachelor Degree,25432.0,5.4,69.0,64.96579496452914,65.1,Average
STU012185,Female,18,70.9,8.1,Yes,Master Degree,29456.0,6.7,77.0,33.0,60.9,Average
STU013672,Female,21,76.5,7.8,Yes,Primary,51485.0,7.0,100.0,83.8,72.7,Good
STU014733,Male,21,83.9,6.1,Yes,Bachelor Degree,29182.0,6.5,79.0,70.5,77.3,Good
STU014062,Male,19,91.2,6.9,Yes,High School,41926.0,6.5,73.0,79.4,79.7,Good
STU011456,Male,18,80.1,0.5,Yes,High School,22535.0,6.2,78.90809031710079,87.6,73.6,Good
STU016188,Female,18,85.2,3.0,Yes,Master Degree,43529.0,6.3,91.0,65.2,74.9,Good
STU014643,Female,18,100.0,5.5,Yes,Diploma,45963.3443790757,5.9,78.90809031710079,38.7,70.6,Good
STU019906,Female,19,77.22603224834236,5.6,Yes,High School,56582.0,5.1,95.0,57.1,67.8,Average
STU012315,Female,18,79.6,4.3,Yes,Diploma,31452.0,4.9,67.0,41.9,53.6,Average
STU000990,Female,21,100.0,3.0,Yes,Bachelor Degree,69746.0,7.6,82.0,86.0,78.4,Good
STU018872,Male,21,67.8,3.9,No,Bachelor Degree,31216.0,6.1,78.0,61.6,56.3,Average
STU010690,Female,19,91.1,7.4,Yes,High School,45963.3443790757,7.0,90.0,66.8,79.1,Good
STU027767,Male,18,90.7,5.1,Yes,Bachelor Degree,51442.0,6.7,75.0,88.4,81.0,Good
STU005248,Male,20,66.6,6.2,Yes,No Formal Education,50495.0,6.8,83.0,77.1,77.1,Good
STU018826,Female,20,90.7,0.5,Yes,High School,36630.0,6.2,68.0,54.6,65.0,Average
STU000610,Male,21,50.9,4.8,Yes,Ph.D,51738.0,8.2,75.0,57.9,63.2,Average
STU004843,Male,21,77.7,3.0,Yes,No Formal Education,16467.0,8.4,79.0,65.3,66.0,Average
STU022189,Male,18,62.5,4.7,Yes,High School,113622.0,7.0,86.0,65.5,70.5,Good
STU001831,Male,18,60.3,4.3,Yes,Bachelor Degree,21442.0,7.6,64.0,78.1,71.0,Good
STU004809,Male,20,67.1,4.3,Yes,Primary,19523.0,6.4,60.0,40.4,55.7,Average
STU016597,Male,21,52.1,6.2,Yes,Master Degree,20660.0,5.2,78.90809031710079,93.4,82.0,Good
STU027846,Female,21,62.7,9.8,Yes,High School,22403.0,7.3,100.0,54.7,65.5,Average
STU027792,Male,21,100.0,5.4,Yes,Diploma,52044.0,5.2,93.0,36.4,71.1,Good
STU011575,Female,18,63.5,8.9,Yes,Master Degree,57478.0,5.9,86.0,93.2,77.9,Good
STU018157,Female,20,85.5,5.5,Yes,High School,50893.0,5.5,62.0,77.1,64.5,Average
STU009362,Male,18,77.22603224834236,6.6,Yes,High School,35096.0,6.9,96.0,42.5,59.2,Average
STU015783,Female,18,77.0,5.4,Yes,Bachelor Degree,21976.0,7.3,75.0,71.3,68.3,Average
STU005448,Male,19,77.22603224834236,4.8,Yes,Bachelor Degree,45963.3443790757,5.7,67.0,66.4,74.4,Good
STU026651,Male,18,57.8,5.038143027580883,No,High School,41796.0,6.2,78.90809031710079,81.8,52.6,Average
STU016840,Female,19,58.8,5.038143027580883,Yes,Master Degree,37744.0,5.4,65.0,61.9,62.3,Average
STU002105,Female,21,77.22603224834236,6.0,Yes,Bachelor Degree,45995.0,8.3,69.0,52.3,73.0,Good
STU002380,Female,21,77.22603224834236,4.4,Yes,Bachelor Degree,41071.0,8.7,69.0,82.2,71.8,Good
STU021769,Female,18,77.22603224834236,4.6,No,High School,37500.0,8.6,77.0,63.0,50.6,Average
STU022281,Female,21,77.22603224834236,5.038143027580883,Yes,High School,45189.0,5.5,65.0,46.0,56.8,Average
STU025174,Female,19,100.0,3.7,Yes,High School,64883.0,7.6,59.0,71.2,70.1,Good
STU027621,Male,19,68.4,4.7,Yes,Primary,92057.0,5.8,70.0,85.4,72.7,Good
STU024819,Male,18,72.9,3.6,No,No Formal Education,24632.0,8.3,67.0,60.5,55.6,Average
STU012864,Male,18,90.1,4.3,Yes,Diploma,35046.0,6.7,84.0,55.7,67.4,Average
STU020968,Male,18,80.1,5.6,Yes,Bachelor Degree,10804.0,6.0,59.0,84.6,83.3,Good
STU003141,Male,17,82.3,4.0,Yes,No Formal Education,28988.0,6.9,67.0,80.5,69.1,Average
STU001703,Male,19,64.6,4.4,Yes,Master Degree,27585.0,6.8,78.0,56.6,64.8,Average
STU028770,Male,18,72.2,6.1,No,Primary,45963.3443790757,7.3,73.0,63.9,66.1,Average
STU013797,Male,18,65.1,5.038143027580883,Yes,Master Degree,19988.0,7.4,78.90809031710079,53.5,59.2,Average
STU001136,Male,18,87.4,3.7,Yes,High School,145195.0,7.5,63.0,63.1,66.2,Average
STU017365,Female,21,63.1,4.0,Yes,Diploma,27327.0,6.6,64.0,47.8,56.2,Average
STU023509,Male,18,78.8,4.8,Yes,High School,46285.0,7.3,70.0,65.0,61.3,Average
STU012390,Female,18,86.7,8.1,No,High School,63412.0,7.2,98.0,53.1,70.3,Good
STU028909,Male,21,62.6,4.4,Yes,Primary,29495.0,6.7,96.0,78.5,64.8,Average
STU024086,Female,21,70.9,2.0,Yes,Bachelor Degree,20799.0,6.8,78.0,68.3,67.8,Average
STU013324,Female,20,87.2,3.1,Yes,Bachelor Degree,22321.0,5.8,79.0,50.6,58.5,Average
STU001563,Female,21,82.4,5.6,Yes,High School,25689.0,6.6,84.0,96.9,88.9,Excellent
STU014184,Male,18,85.9,5.0,Yes,High School,57885.0,7.0,94.0,46.7,66.0,Average
STU006165,Female,18,77.4,3.3,Yes,Primary,40275.0,7.1,86.0,71.8,74.6,Good
STU009301,Female,16,77.22603224834236,0.5,Yes,High School,57723.0,5.8,71.0,58.1,71.2,Good
STU022724,Female,20,99.0,5.2,Yes,Primary,39627.0,8.5,74.0,59.8,69.0,Average
STU026927,Female,19,73.5,3.5,Yes,Bachelor Degree,114524.0,6.1,65.0,52.7,69.2,Average
STU022159,Male,18,72.2,5.3,Yes,Primary,45963.3443790757,7.1,80.0,94.6,89.9,Excellent
STU025307,Female,19,100.0,3.7,Yes,High School,22847.0,4.5,91.0,50.0,55.7,Average
STU021920,Female,19,82.6,5.8,Yes,High School,48968.0,6.807314349525405,82.0,83.0,73.2,Good
STU016434,Female,21,90.6,6.2,Yes,High School,55317.0,7.8,97.0,68.5,72.8,Good
STU013053,Male,18,70.1,2.8,Yes,Primary,55430.0,4.6,55.0,61.2,50.3,Average
STU024946,Male,18,77.1,5.3,Yes,Bachelor Degree,23972.0,7.3,72.0,48.4,65.8,Average
STU020887,Male,23,75.1,4.7,Yes,Diploma,65712.0,7.3,100.0,71.6,67.0,Average
STU028065,Female,18,58.2,6.4,No,Ph.D,35216.0,5.9,78.0,95.7,69.4,Average
STU028313,Male,20,81.9,3.9,Yes,High School,28268.0,6.8,81.0,48.3,61.7,Average
STU018867,Male,19,83.0,6.5,Yes,High School,29841.0,6.8,96.0,64.2,76.9,Good
STU011718,Female,20,77.22603224834236,4.5,Yes,Bachelor Degree,31876.0,6.8,85.0,67.2,67.4,Average
STU015938,Female,18,82.2,3.2,Yes,High School,45692.0,5.7,57.0,49.7,60.6,Average
STU022756,Female,19,72.6,5.038143027580883,Yes,Master Degree,48095.0,6.3,90.0,46.4,64.6,Average
STU012562,Male,20,76.8,4.6,Yes,Primary,31606.0,7.1,86.0,70.3,61.9,Average
STU005034,Female,20,94.9,3.1,Yes,Diploma,35001.0,7.2,92.0,72.5,78.2,Good
STU007186,Male,19,77.22603224834236,2.8,No,Primary,49351.0,6.2,88.0,51.6,67.7,Average
STU016018,Female,21,89.6,5.9,Yes,No Formal Education,25934.0,6.6,90.0,77.4,73.5,Good
